"Date","Close","Volume","Change","Ch(%)","Value(cr)","Trade","Open","High","Low"
"1725386400000","31.3","568593","0.3000000000000007","0.9677419354838732","1.7803999999999998","742","31.4","31.9","31"
"1725300000000","31","669805","-1","-3.125","2.1083","1014","32","32.2","30.7"
"1725213600000","32","1275277","-1.6000000000000014","-4.761904761904765","4.2051","1401","33.6","34.1","31.3"
"1725127200000","33.6","985900","1.3999999999999986","4.347826086956517","3.2683","1165","32.5","33.7","32.4"
"1724868000000","32.2","858446","0.40000000000000213","1.2578616352201324","2.7620999999999998","1137","31.1","32.8","30.7"
"1724781600000","31.8","768635","1.6999999999999993","5.647840531561459","2.3906","1176","30.9","32.1","29.9"
"1724695200000","30.1","695390","-0.8999999999999986","-2.903225806451608","2.0978000000000003","754","30.5","30.9","30.1"
"1724522400000","31","560389","-0.8999999999999986","-2.8213166144200583","1.7442","555","31.9","31.9","31"
"1724263200000","31.9","1136310","-0.8000000000000043","-2.4464831804281473","3.6235","892","31.8","32.7","31.8"
"1724176800000","32.7","543768","-1","-2.9673590504451037","1.7822","620","33.7","33.7","32.7"
"1724090400000","33.7","772286","-0.6999999999999957","-2.03488372093022","2.6275","975","33.5","34.8","33.5"
"1724004000000","34.4","1394413","0.6000000000000014","1.775147928994087","4.795","1309","33.8","35.3","32.9"
"1723917600000","33.8","1217324","-0.7000000000000028","-2.028985507246385","4.1081","1272","33.5","34.6","33.5"
"1723658400000","34.5","219116","-1","-2.8169014084507045","0.756","207","34.5","34.5","34.5"
"1723572000000","35.5","535000","-1","-2.73972602739726","1.9097000000000002","403","36","36.4","35.5"
"1723485600000","36.5","1861276","-1.1000000000000014","-2.9255319148936207","6.859999999999999","1383","37.7","37.7","36.5"
"1723399200000","37.6","3440344","0.7000000000000028","1.8970189701897098","12.878499999999999","3235","37.1","38.5","35.9"
"1723312800000","36.9","3901696","1.7999999999999972","5.12820512820512","14.118500000000001","2975","35.6","38.2","34.1"
"1723053600000","35.1","2498080","1.6000000000000014","4.776119402985079","8.498999999999999","2118","33.5","35.6","32.5"
"1722967200000","33.5","1475452","-0.7999999999999972","-2.3323615160349775","4.9533000000000005","918","35","35","33.3"
"1722880800000","34.3","1562132","0.09999999999999432","0.29239766081869684","5.511699999999999","1316","35.9","37.3","34"
"1722708000000","34.2","16630","-1","-2.840909090909091","0.05689999999999999","24","34.2","34.2","34.2"
"1722448800000","35.2","862395","1.3000000000000043","3.834808259587033","2.9886","936","34.6","35.4","33.9"
"1722362400000","33.9","781836","0.29999999999999716","0.8928571428571344","2.6485","805","33.6","34.8","33.2"
"1722276000000","33.6","987024","-1","-2.8901734104046244","3.3177","618","33.7","33.8","33.6"
"1722189600000","34.6","783988","-1","-2.8089887640449436","2.7268999999999997","630","35.8","35.8","34.6"
"1722103200000","35.6","1052997","-1.1000000000000014","-2.997275204359677","3.8368","998","36.4","37.5","35.6"
"1721844000000","36.7","929648","2.4000000000000057","6.997084548104973","3.3137999999999996","899","33.5","37","33.3"
"1721757600000","34.3","477993","-1","-2.8328611898017","1.6402","247","34.3","34.6","34.3"
"1721239200000","35.3","769740","-0.5","-1.3966480446927376","2.7051","623","35.8","35.8","34.8"
"1721066400000","35.8","1107712","-0.7000000000000028","-1.9178082191780899","3.9601999999999995","1098","36.5","37","35.5"
"1720980000000","36.5","1387367","-1.1000000000000014","-2.9255319148936207","5.1432","1448","37.5","38","36.5"
"1720893600000","37.6","1810040","-1.1000000000000014","-2.8423772609819156","6.823099999999999","1260","37.6","38.3","37.6"
